model_name,direction,src_lang,tgt_lang,samples,bleu,chrf2,repetition_percent,hit_max_tokens_percent,latency_mean_seconds,latency_p95_seconds
m2m100_1_2b,en-ru,en,ru,50,29.190998066478137,54.01615933835679,0.0,0.0,0.560382483995054,0.8704942749638575
m2m100_1_2b,en-uz,en,uz,50,0.38296162747686324,13.950758677081506,0.0,0.0,0.5166580640012398,0.7521356550336349
m2m100_1_2b,en-zh,en,zh,50,34.58049983804893,23.113573061503846,0.0,0.0,0.473463483999949,0.7469029449915978
m2m100_1_2b,ru-en,ru,en,50,35.08503758261334,59.619024740221995,0.0,0.0,0.5171141500002705,0.7409215950407086
m2m100_1_2b,ru-uz,ru,uz,50,0.3447168573736923,11.677329053881914,2.0,0.0,0.5810560120083391,0.855649024969898
m2m100_1_2b,ru-zh,ru,zh,50,29.664006404675433,19.52590717099588,0.0,0.0,0.4789816419966519,0.7184703600243665
m2m100_1_2b,uz-en,uz,en,50,2.2182658498137355,20.73876636184244,0.0,0.0,0.7474549580039457,1.7707125000306394
m2m100_1_2b,uz-ru,uz,ru,50,1.239911393033551,18.05897056019656,0.0,0.0,0.7532401859969832,1.383676014986122
m2m100_1_2b,uz-zh,uz,zh,50,4.995305051184532,4.723596587157899,0.0,0.0,0.6394736759993248,1.124122655013343
m2m100_1_2b,zh-en,zh,en,50,24.102561979430845,52.91650974155273,0.0,0.0,0.5031536240060813,0.7927472950424997
m2m100_1_2b,zh-ru,zh,ru,50,16.22782328149264,42.70763804941932,0.0,0.0,0.5698557920078747,0.9379108450084458
m2m100_1_2b,zh-uz,zh,uz,50,0.4703245279786524,11.962737982962404,0.0,0.0,0.5453351080138237,0.8516598549729678
m2m100_418m,en-ru,en,ru,50,24.268918260923662,49.95849101196493,0.0,0.0,0.3086298179998994,0.49255054494715284
m2m100_418m,en-uz,en,uz,50,0.5163808912733578,15.522343636363647,2.0,0.0,0.2999326160084456,0.4873432399937882
m2m100_418m,en-zh,en,zh,50,31.5880579926015,20.59255663522809,0.0,0.0,0.24781257199123502,0.3807838700187858
m2m100_418m,ru-en,ru,en,50,27.39334344009888,54.3834559439435,0.0,0.0,0.2622116280021146,0.40534979495569123
m2m100_418m,ru-uz,ru,uz,50,0.34372258751342927,15.611791628032549,2.0,0.0,0.3500962160038762,0.514768575009657
m2m100_418m,ru-zh,ru,zh,50,27.779298187816895,19.218651347243554,0.0,0.0,0.28807000200031324,0.4588222400052472
m2m100_418m,uz-en,uz,en,50,1.6239550514455325,22.03293109005478,0.0,0.0,0.4338175779907033,0.8238076250185256
m2m100_418m,uz-ru,uz,ru,50,1.1358119772407496,18.853400565970553,0.0,0.0,0.43600488199619575,0.7246706650010307
m2m100_418m,uz-zh,uz,zh,50,4.603399048430998,5.382847794521408,0.0,0.0,0.3371235780022107,0.5186607299547177
m2m100_418m,zh-en,zh,en,50,20.319374601895017,49.334482926468546,0.0,0.0,0.27199509400641547,0.4933851649926507
m2m100_418m,zh-ru,zh,ru,50,13.170475803088067,39.809555193350924,0.0,0.0,0.3018422619998455,0.47062327998573883
m2m100_418m,zh-uz,zh,uz,50,0.3258129685769002,15.03022691645721,6.0,0.0,0.3170991280139424,0.5871954500616992
