direction,m2m100_1_2b,m2m100_418m,qwen3_4b_q8,best_m2m100_chrf2,qwen_minus_best_m2m100
en-uz,13.950758677081506,15.522343636363647,14.948376316420417,15.522343636363647,-0.5739673199432307
ru-uz,11.677329053881914,15.611791628032549,23.133319839154506,15.611791628032549,7.521528211121957
uz-en,20.73876636184244,22.03293109005478,43.37400363795961,22.03293109005478,21.34107254790483
uz-ru,18.05897056019656,18.853400565970553,36.3224695971741,18.853400565970553,17.469069031203546
uz-zh,4.723596587157899,5.382847794521408,16.255704635056496,5.382847794521408,10.87285684053509
zh-uz,11.962737982962404,15.03022691645721,24.412060450007246,15.03022691645721,9.381833533550036
